23653,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.6511111111111111,ay:0.6722222222222223,az:0.31222222222222223,q: 259.0,rV:    60,lV:    60,Camera:0
23734,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.9444444444444444,ay:-0.01888888888888889,az:0.4855555555555556,q:258.25,rV:    60,lV:    60,Camera:0
23817,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.5855555555555556,ay:-0.022222222222222223,az:0.2788888888888889,q:256.8125,rV:    60,lV:    60,Camera:0
23897,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.12777777777777777,ay:0.11222222222222222,az:-0.13666666666666666,q:256.5625,rV:    60,lV:    60,Camera:0
24003,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:   0.2,ay:  1.27,az:0.27555555555555555,q:255.9375,rV:    60,lV:    60,Camera:0
24042,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.5144444444444445,ay:-0.43222222222222223,az:0.015555555555555555,q:255.8125,rV:    60,lV:    60,Camera:0
24051,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.03222222222222222,ay:-0.14333333333333334,az:0.15777777777777777,q:255.6875,rV:    60,lV:    60,Camera:0
24100,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.5966666666666667,ay:-0.21888888888888888,az:0.08666666666666667,q:255.3125,rV:    60,lV:    60,Camera:0
24178,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.7788888888888889,ay:0.04555555555555556,az:-0.2111111111111111,q:255.4375,rV:    60,lV:    60,Camera:0
24272,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.8022222222222222,ay:0.3022222222222222,az:-0.0022222222222222222,q:254.6875,rV:    60,lV:    60,Camera:0
24280,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:0.3611111111111111,ay:0.5377777777777778,az:0.11444444444444445,q:254.5625,rV:    60,lV:    60,Camera:0
