21114,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:0.04555555555555556,ay:-0.3377777777777778,az:0.23222222222222222,q:356.625,rV:    70,lV:    50,Camera:0
21192,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:0.1811111111111111,ay:-0.2922222222222222,az:-0.14333333333333334,q:356.75,rV:    70,lV:    50,Camera:0
21269,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax: -0.24,ay:0.41888888888888887,az:-0.09111111111111111,q:357.0625,rV:    70,lV:    50,Camera:0
21311,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.41888888888888887,ay:   0.5,az:-0.10333333333333333,q:357.3125,rV:    70,lV:    50,Camera:0
21320,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.4577777777777778,ay:  0.34,az:-0.13111111111111112,q:357.4375,rV:    70,lV:    50,Camera:0
21425,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.3088888888888889,ay:0.5111111111111111,az:0.06777777777777778,q: 358.0,rV:    70,lV:    50,Camera:0
21434,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.21555555555555556,ay:0.2088888888888889,az:0.03666666666666667,q:357.9375,rV:    70,lV:    50,Camera:0
21763,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:0.30444444444444446,ay:1.728888888888889,az:0.36666666666666664,q: 356.5,rV:    70,lV:    50,Camera:0
21805,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-0.6855555555555556,ay:  2.43,az:0.4222222222222222,q:355.4375,rV:    70,lV:    50,Camera:0
21896,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:0.33666666666666667,ay:-0.37333333333333335,az:0.10777777777777778,q:353.6875,rV:    70,lV:    50,Camera:0
21944,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:0.24333333333333335,ay:-0.41888888888888887,az:0.35333333333333333,q:353.25,rV:    70,lV:    50,Camera:0
22061,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:0.5244444444444445,ay: -0.59,az:1.1633333333333333,q:348.125,rV:    70,lV:    50,Camera:0
22146,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-0.08777777777777777,ay:-0.4066666666666667,az:0.6611111111111111,q:343.625,rV:    70,lV:    50,Camera:0
22228,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:0.3244444444444444,ay:0.6622222222222223,az:0.14555555555555555,q:341.9375,rV:    70,lV:    50,Camera:0
22273,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-0.6033333333333334,ay:0.08777777777777777,az:  0.89,q: 340.0,rV:    70,lV:    50,Camera:0
22284,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-1.0144444444444445,ay:0.33444444444444443,az:0.9255555555555556,q: 339.5,rV:    70,lV:    50,Camera:0
22383,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-0.3522222222222222,ay:0.47555555555555556,az:  1.14,q:334.375,rV:    70,lV:    50,Camera:0
22389,state:6,Time:13:42:42,Lat:35.55490833,Lng:139.65565667,ax:-0.15444444444444444,ay:-0.06888888888888889,az:1.0177777777777777,q:333.8125,rV:    70,lV:    50,Camera:0
22723,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:   0.4,ay:-0.08555555555555555,az:0.9277777777777778,q: 322.0,rV:    70,lV:    50,Camera:0
