5838,state:4,Time:13:43:33,Lat:35.55491000,Lng:139.65566000,ax:-0.011111111111111112,ay:0.05333333333333334,az:  0.06,q:   0.0,rV:     0,lV:     0,Camera:captured!
22207,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:-0.6655555555555556,ay:-0.5422222222222223,az:0.22777777777777777,q:205.1875,rV:    60,lV:    60,Camera:0
22294,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.3522222222222222,ay:0.09777777777777778,az:-0.052222222222222225,q:204.875,rV:    60,lV:    60,Camera:0
22411,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.3811111111111111,ay:-0.13111111111111112,az:0.1511111111111111,q: 204.5,rV:    60,lV:    60,Camera:0
22463,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:0.9433333333333334,ay:-0.4122222222222222,az:-0.18777777777777777,q:204.3125,rV:    60,lV:    60,Camera:0
22560,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.034444444444444444,ay:-0.3111111111111111,az:0.29444444444444445,q:203.875,rV:    60,lV:    60,Camera:0
22568,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.034444444444444444,ay:-0.3111111111111111,az:0.29444444444444445,q: 203.5,rV:    60,lV:    60,Camera:0
22691,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:0.8288888888888889,ay:0.03222222222222222,az:-0.03666666666666667,q:203.625,rV:    60,lV:    60,Camera:0
22702,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:1.0377777777777777,ay:0.09222222222222222,az:0.10444444444444445,q:203.625,rV:    60,lV:    60,Camera:0
22806,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.8755555555555555,ay:0.22333333333333333,az:0.1711111111111111,q:202.125,rV:    60,lV:    60,Camera:0
22905,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-1.3266666666666667,ay:0.5388888888888889,az:0.1288888888888889,q:202.625,rV:    60,lV:    60,Camera:0
