5846,state:4,Time:13:58:33,Lat:35.55492500,Lng:139.65566000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
20956,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:0.37666666666666665,ay:-1.0522222222222222,az:-0.04777777777777778,q: 345.0,rV:    60,lV:    60,Camera:0
20970,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:  0.17,ay:0.47555555555555556,az:0.10222222222222223,q:344.9375,rV:    60,lV:    60,Camera:0
21047,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:-0.013333333333333334,ay:0.16444444444444445,az:-0.09666666666666666,q: 345.0,rV:    60,lV:    60,Camera:0
21159,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.21222222222222223,ay:0.09666666666666666,az:0.14444444444444443,q:345.375,rV:    60,lV:    60,Camera:0
21237,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:0.10888888888888888,ay:0.2811111111111111,az:-0.11777777777777777,q:344.75,rV:    60,lV:    60,Camera:0
21361,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.10111111111111111,ay:-1.0988888888888888,az:0.2222222222222222,q:343.625,rV:    60,lV:    60,Camera:0
21372,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax: -0.34,ay:-0.9633333333333334,az:0.35333333333333333,q:343.4375,rV:    70,lV:    50,Camera:0
21675,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:0.005555555555555556,ay:0.04777777777777778,az:0.7077777777777777,q:335.25,rV:    70,lV:    50,Camera:0
21718,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:0.45444444444444443,ay:-0.4533333333333333,az:0.4444444444444444,q:333.375,rV:    70,lV:    50,Camera:0
21729,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:  0.99,ay:   0.1,az:0.2722222222222222,q:333.25,rV:    70,lV:    50,Camera:0
21811,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.3711111111111111,ay:-0.22111111111111112,az:0.7333333333333333,q:330.3125,rV:    70,lV:    50,Camera:0
21884,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.5388888888888889,ay:-0.017777777777777778,az:0.5488888888888889,q:328.125,rV:    70,lV:    50,Camera:0
21894,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.8944444444444445,ay:-0.6911111111111111,az:0.6866666666666666,q:327.75,rV:    70,lV:    50,Camera:0
21979,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:-0.6855555555555556,ay:0.5755555555555556,az:0.9611111111111111,q:324.0625,rV:    70,lV:    50,Camera:0
22091,state:6,Time:13:58:49,Lat:35.55490833,Lng:139.65565333,ax:0.09444444444444444,ay:0.1511111111111111,az:0.7055555555555556,q:321.125,rV:    70,lV:    50,Camera:0
22171,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.27666666666666667,ay:-0.012222222222222223,az:0.7655555555555555,q:317.875,rV:    70,lV:    50,Camera:0
22293,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.3233333333333333,ay:-0.4411111111111111,az:0.7244444444444444,q: 314.5,rV:    70,lV:    50,Camera:0
22301,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.5655555555555556,ay:-0.5244444444444445,az:0.7666666666666667,q:314.0625,rV:    70,lV:    50,Camera:0
22614,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.06444444444444444,ay:-0.7466666666666667,az:0.5011111111111111,q:303.6875,rV:    70,lV:    50,Camera:0
22655,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.15888888888888889,ay:-0.42333333333333334,az:0.6222222222222222,q:302.3125,rV:    70,lV:    50,Camera:0
22666,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.7066666666666667,ay:-0.29333333333333333,az:0.5688888888888889,q: 302.0,rV:    70,lV:    50,Camera:0
22752,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.015555555555555555,ay: -0.12,az:0.8922222222222222,q:298.4375,rV:    70,lV:    50,Camera:0
22829,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.2822222222222222,ay:0.4166666666666667,az:0.8055555555555556,q:295.375,rV:    70,lV:    50,Camera:0
22838,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.012222222222222223,ay:  0.19,az:0.7188888888888889,q: 295.0,rV:    70,lV:    50,Camera:0
22918,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.6111111111111112,ay:0.2788888888888889,az:0.37444444444444447,q:292.5625,rV:    70,lV:    50,Camera:0
23026,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:0.29555555555555557,ay:-1.451111111111111,az:0.7877777777777778,q:289.1875,rV:    70,lV:    50,Camera:0
23108,state:6,Time:13:58:50,Lat:35.55490333,Lng:139.65565000,ax:-0.44333333333333336,ay:1.0955555555555556,az:0.9855555555555555,q:284.875,rV:    70,lV:    50,Camera:0
23235,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:-1.431111111111111,ay:0.6388888888888888,az:1.1822222222222223,q:277.5625,rV:    70,lV:    50,Camera:0
23242,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:-1.431111111111111,ay:0.6388888888888888,az:1.1822222222222223,q:276.875,rV:    60,lV:    60,Camera:0
23562,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:0.21888888888888888,ay:-0.36777777777777776,az:-0.07333333333333333,q:274.4375,rV:    60,lV:    60,Camera:0
23603,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:-0.2611111111111111,ay:0.4588888888888889,az:0.04888888888888889,q:274.3125,rV:    60,lV:    60,Camera:0
23613,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:0.5888888888888889,ay:  0.04,az:-0.18444444444444444,q:274.4375,rV:    60,lV:    60,Camera:0
