5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
22649,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.11888888888888889,ay: -0.28,az:0.7066666666666667,q:25.875,rV:    70,lV:    50,Camera:0
22704,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.8977777777777778,ay:0.16666666666666666,az:0.46111111111111114,q:24.6875,rV:    70,lV:    50,Camera:0
22819,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:0.7866666666666666,ay:-1.1933333333333334,az:0.5344444444444445,q:21.1875,rV:    70,lV:    50,Camera:0
22859,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-1.6477777777777778,ay:  0.11,az:   1.0,q:19.4375,rV:    70,lV:    50,Camera:0
22976,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.024444444444444446,ay:-0.22444444444444445,az:  0.07,q:  17.5,rV:    70,lV:    50,Camera:0
22986,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.2111111111111111,ay:-0.37333333333333335,az:0.03111111111111111,q:  17.5,rV:    50,lV:    70,Camera:0
23310,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:0.6455555555555555,ay:-0.10777777777777778,az:-0.6177777777777778,q:19.8125,rV:    50,lV:    70,Camera:0
23437,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:0.14555555555555555,ay:-0.11222222222222222,az:-0.9777777777777777,q:25.3125,rV:    50,lV:    70,Camera:0
23447,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:0.5966666666666667,ay: -0.81,az:-0.9488888888888889,q:25.875,rV:    50,lV:    70,Camera:0
23539,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:-0.06444444444444444,ay:0.09333333333333334,az:-0.43666666666666665,q: 29.25,rV:    50,lV:    70,Camera:0
23624,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:-1.048888888888889,ay:0.4577777777777778,az:-0.9455555555555556,q:32.0625,rV:    50,lV:    70,Camera:0
23710,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:0.2544444444444444,ay:0.32222222222222224,az:-0.9955555555555555,q:36.375,rV:    50,lV:    70,Camera:0
23759,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:-0.005555555555555556,ay:0.12555555555555556,az:-0.5455555555555556,q:38.5625,rV:    50,lV:    70,Camera:0
23879,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:-0.3811111111111111,ay:-0.3111111111111111,az:-0.30444444444444446,q:42.6875,rV:    50,lV:    70,Camera:0
23924,state:6,Time:14:19:56,Lat:35.55486667,Lng:139.65562500,ax:0.38666666666666666,ay:  0.84,az:-0.6622222222222223,q:  44.0,rV:    50,lV:    70,Camera:0
24052,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.24222222222222223,ay:-0.2011111111111111,az:-0.6722222222222223,q:46.9375,rV:    50,lV:    70,Camera:0
24060,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.24222222222222223,ay:-0.2011111111111111,az:-0.6722222222222223,q:47.4375,rV:    50,lV:    70,Camera:0
24391,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:-0.11222222222222222,ay:0.035555555555555556,az:-0.6133333333333333,q:  60.0,rV:    50,lV:    70,Camera:0
24512,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:-0.3433333333333333,ay:0.5033333333333333,az:-0.7355555555555555,q: 65.75,rV:    50,lV:    70,Camera:0
24522,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:-0.21666666666666667,ay:0.17333333333333334,az:-0.5022222222222222,q:66.125,rV:    50,lV:    70,Camera:0
24613,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:   0.8,ay:-0.15222222222222223,az:-0.5688888888888889,q:68.6875,rV:    50,lV:    70,Camera:0
24696,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.1711111111111111,ay:0.14555555555555555,az:-0.5566666666666666,q:71.3125,rV:    50,lV:    70,Camera:0
