5769,state:4,Time:13:48:06,Lat:35.55492000,Lng:139.65563000,ax:-0.0033333333333333335,ay:-0.006666666666666667,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:captured!
22453,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:-0.4588888888888889,ay:0.04888888888888889,az:0.8633333333333333,q:256.1875,rV:    70,lV:    50,Camera:0
22503,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.7355555555555555,ay:0.08666666666666667,az:0.7544444444444445,q:254.3125,rV:    70,lV:    50,Camera:0
22583,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax: -0.66,ay:-0.7688888888888888,az:0.8855555555555555,q:250.875,rV:    70,lV:    50,Camera:0
22592,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.7877777777777778,ay:0.15666666666666668,az:0.9322222222222222,q:250.4375,rV:    60,lV:    60,Camera:0
22899,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.03222222222222222,ay:0.043333333333333335,az:-0.14333333333333334,q:247.625,rV:    60,lV:    60,Camera:0
22911,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:0.006666666666666667,ay:0.09888888888888889,az:-0.21666666666666667,q:247.75,rV:    60,lV:    60,Camera:0
23041,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.0044444444444444444,ay:0.21777777777777776,az:0.25222222222222224,q:247.25,rV:    60,lV:    60,Camera:0
23152,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:0.31333333333333335,ay:0.2088888888888889,az:0.24555555555555555,q:245.4375,rV:    60,lV:    60,Camera:0
23249,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.8622222222222222,ay:-0.2722222222222222,az:-0.034444444444444444,q:245.1875,rV:    60,lV:    60,Camera:0
23333,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.16444444444444445,ay:0.10444444444444445,az:-0.056666666666666664,q:245.75,rV:    60,lV:    60,Camera:0
23418,state:6,Time:13:48:23,Lat:35.55491000,Lng:139.65563333,ax:-0.18555555555555556,ay:-0.7577777777777778,az:0.1288888888888889,q:246.3125,rV:    60,lV:    60,Camera:0
23507,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:0.008888888888888889,ay:0.8066666666666666,az:0.4122222222222222,q:244.3125,rV:    60,lV:    60,Camera:0
23550,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:-0.31555555555555553,ay:-0.06777777777777778,az:  0.33,q:243.3125,rV:    60,lV:    60,Camera:0
23626,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:-0.3422222222222222,ay:0.7522222222222222,az:-0.0033333333333333335,q: 243.0,rV:    60,lV:    60,Camera:0
23634,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:-0.11222222222222222,ay:0.3244444444444444,az:0.024444444444444446,q:242.9375,rV:    60,lV:    60,Camera:0
23930,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:  0.27,ay:  0.25,az:-0.13444444444444445,q: 242.5,rV:    60,lV:    60,Camera:0
23940,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:0.4955555555555556,ay:0.22111111111111112,az:-0.2833333333333333,q:242.6875,rV:    60,lV:    60,Camera:0
24058,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:  0.12,ay:-0.051111111111111114,az:0.6322222222222222,q:242.0625,rV:    60,lV:    60,Camera:0
24167,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax: -0.11,ay: -0.04,az:-0.17777777777777778,q:240.0625,rV:    60,lV:    60,Camera:0
24246,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:0.012222222222222223,ay:-0.29777777777777775,az:0.008888888888888889,q:240.1875,rV:    60,lV:    60,Camera:0
24326,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:-0.07333333333333333,ay:0.21666666666666667,az:0.15444444444444444,q:239.25,rV:    60,lV:    60,Camera:0
24409,state:6,Time:13:48:24,Lat:35.55491000,Lng:139.65563333,ax:0.09222222222222222,ay:0.11777777777777777,az:  0.19,q:237.8125,rV:    60,lV:    60,Camera:0
24496,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:-0.20222222222222222,ay:-0.3622222222222222,az:0.023333333333333334,q:237.625,rV:    60,lV:    60,Camera:0
24549,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.44222222222222224,ay:0.2088888888888889,az:  -0.1,q:237.9375,rV:    60,lV:    60,Camera:0
24620,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.23555555555555555,ay:-0.4211111111111111,az:0.0011111111111111111,q:237.6875,rV:    60,lV:    60,Camera:0
24628,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:-0.021111111111111112,ay:0.2922222222222222,az:0.014444444444444444,q:237.6875,rV:    60,lV:    60,Camera:0
24921,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.1511111111111111,ay:0.10888888888888888,az:-0.0011111111111111111,q:237.125,rV:    60,lV:    60,Camera:0
24930,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.13333333333333333,ay:0.034444444444444444,az:-0.021111111111111112,q:237.125,rV:    60,lV:    60,Camera:0
25064,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.40444444444444444,ay:-0.2788888888888889,az:-0.13666666666666666,q:237.375,rV:    60,lV:    60,Camera:0
25171,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.13111111111111112,ay:0.07888888888888888,az:0.3622222222222222,q:236.125,rV:    60,lV:    60,Camera:0
25254,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.05555555555555555,ay:-0.006666666666666667,az:-0.03666666666666667,q:235.25,rV:    60,lV:    60,Camera:0
25348,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:-0.2911111111111111,ay:-0.2311111111111111,az:-0.0811111111111111,q: 235.5,rV:    60,lV:    60,Camera:0
25431,state:6,Time:13:48:25,Lat:35.55490833,Lng:139.65563500,ax:0.24222222222222223,ay:-0.7866666666666666,az:  0.14,q:234.6875,rV:    60,lV:    60,Camera:0
25517,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:-0.8333333333333334,ay:-0.027777777777777776,az:0.45444444444444443,q:233.625,rV:    60,lV:    60,Camera:0
25564,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:0.4222222222222222,ay:-0.052222222222222225,az:0.04555555555555556,q:233.3125,rV:    60,lV:    60,Camera:0
25641,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:1.028888888888889,ay:0.5466666666666666,az:-0.4666666666666667,q: 234.0,rV:    60,lV:    60,Camera:0
25651,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:0.5855555555555556,ay:0.07111111111111111,az: -0.35,q:234.0625,rV:    70,lV:    50,Camera:0
25935,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:-0.4911111111111111,ay:-0.35555555555555557,az:1.0077777777777779,q:227.375,rV:    70,lV:    50,Camera:0
25943,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:-0.4911111111111111,ay:-0.35555555555555557,az:1.0077777777777779,q:226.75,rV:    70,lV:    50,Camera:0
26060,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:0.19111111111111112,ay:-0.7222222222222222,az:0.8711111111111111,q:221.4375,rV:    70,lV:    50,Camera:0
26172,state:6,Time:13:48:26,Lat:35.55490833,Lng:139.65563667,ax:  0.01,ay:  0.25,az:0.9188888888888889,q:215.25,rV:    70,lV:    50,Camera:0
