5810,state:4,Time:13:45:37,Lat:35.55491500,Lng:139.65560667,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:captured!
25585,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.3022222222222222,ay:  0.71,az:-0.6811111111111111,q:150.6875,rV:    50,lV:    70,Camera:0
25712,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:0.5488888888888889,ay:-0.14777777777777779,az:-1.0777777777777777,q:157.25,rV:    50,lV:    70,Camera:0
25755,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.4022222222222222,ay:0.5455555555555556,az:-0.5322222222222223,q:158.9375,rV:    50,lV:    70,Camera:0
25852,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.017777777777777778,ay:-0.16333333333333333,az:-0.6588888888888889,q:162.125,rV:    50,lV:    70,Camera:0
25942,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.41888888888888887,ay:0.28555555555555556,az:-0.7966666666666666,q:165.375,rV:    50,lV:    70,Camera:0
25951,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.5833333333333334,ay:-0.2288888888888889,az:-0.6744444444444444,q:165.6875,rV:    50,lV:    70,Camera:0
26052,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:0.47888888888888886,ay:-0.09555555555555556,az:-0.6277777777777778,q:168.5625,rV:    50,lV:    70,Camera:0
26058,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:0.3422222222222222,ay: -0.61,az:-0.6533333333333333,q:168.9375,rV:    70,lV:    50,Camera:0
26378,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:-0.4633333333333333,ay:-0.2088888888888889,az:1.3166666666666667,q:165.3125,rV:    70,lV:    50,Camera:0
26496,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:-0.5877777777777777,ay:0.052222222222222225,az:0.35333333333333333,q:161.0625,rV:    70,lV:    50,Camera:0
26580,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:-0.2544444444444444,ay:0.4588888888888889,az:0.9366666666666666,q:157.6875,rV:    70,lV:    50,Camera:0
26635,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:-0.19555555555555557,ay:-0.3611111111111111,az:0.7611111111111111,q: 155.5,rV:    70,lV:    50,Camera:0
26762,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:-1.0344444444444445,ay:-0.06777777777777778,az:0.7944444444444444,q:150.8125,rV:    70,lV:    50,Camera:0
26820,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.23222222222222222,ay:0.33555555555555555,az:  0.93,q:148.375,rV:    70,lV:    50,Camera:0
26913,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.7611111111111111,ay:-0.3466666666666667,az:0.7711111111111111,q:144.125,rV:    70,lV:    50,Camera:0
27003,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.21444444444444444,ay:-1.0744444444444445,az:0.8844444444444445,q: 140.0,rV:    70,lV:    50,Camera:0
27013,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:-0.24888888888888888,ay:-0.6011111111111112,az:1.0788888888888888,q:139.4375,rV:    70,lV:    50,Camera:0
27128,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.6044444444444445,ay:-0.3477777777777778,az:0.14222222222222222,q:137.0625,rV:    70,lV:    50,Camera:0
27135,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.2111111111111111,ay:-0.12222222222222222,az:  0.19,q:136.8125,rV:    50,lV:    70,Camera:0
27456,state:6,Time:13:45:58,Lat:35.55493500,Lng:139.65560333,ax:0.5511111111111111,ay: -0.36,az: -0.47,q:142.125,rV:    50,lV:    70,Camera:0
27572,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax: -0.52,ay:-0.7966666666666666,az:-0.25666666666666665,q:144.875,rV:    50,lV:    70,Camera:0
27666,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:-0.1988888888888889,ay:0.5733333333333334,az:-0.5855555555555556,q:147.3125,rV:    50,lV:    70,Camera:0
27722,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:0.41333333333333333,ay:0.4666666666666667,az:-0.6822222222222222,q:149.6875,rV:    50,lV:    70,Camera:0
27848,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:-0.0022222222222222222,ay:0.8333333333333334,az:-0.2311111111111111,q:152.4375,rV:    50,lV:    70,Camera:0
27901,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:1.1722222222222223,ay: -0.82,az:-0.9188888888888889,q:154.875,rV:    50,lV:    70,Camera:0
27995,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax: -0.06,ay:-0.2388888888888889,az:-0.20666666666666667,q:158.0625,rV:    50,lV:    70,Camera:0
28079,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:-0.23555555555555555,ay:0.5188888888888888,az:-0.37666666666666665,q:158.875,rV:    50,lV:    70,Camera:0
28090,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:-0.05555555555555555,ay:0.7866666666666666,az:-0.5655555555555556,q:159.1875,rV:    50,lV:    70,Camera:0
28193,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:0.6122222222222222,ay:0.5366666666666666,az:-0.5722222222222222,q:163.8125,rV:    50,lV:    70,Camera:0
