5792,state:4,Time:13:38:43,Lat:35.55494500,Lng:139.65563167,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:captured!
22804,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:0.0022222222222222222,ay:-0.32555555555555554,az:-0.5411111111111111,q:164.25,rV:    50,lV:    70,Camera:0
22812,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:0.0022222222222222222,ay:-0.32555555555555554,az:-0.5411111111111111,q:164.5625,rV:    70,lV:    50,Camera:0
23136,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.34555555555555556,ay:  0.46,az:0.8544444444444445,q:159.5625,rV:    70,lV:    50,Camera:0
23254,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.10555555555555556,ay:-1.0022222222222221,az:0.6566666666666666,q:155.875,rV:    70,lV:    50,Camera:0
23369,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.11333333333333333,ay:1.1633333333333333,az:   0.9,q:151.125,rV:    70,lV:    50,Camera:0
23457,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.2411111111111111,ay:-0.2633333333333333,az:0.38555555555555554,q:149.375,rV:    70,lV:    50,Camera:0
23537,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax: -1.01,ay:-1.7077777777777778,az:1.1933333333333334,q:144.25,rV:    70,lV:    50,Camera:0
23618,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.39666666666666667,ay:0.18555555555555556,az:0.7422222222222222,q:140.125,rV:    70,lV:    50,Camera:0
23663,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:-0.012222222222222223,ay:-0.8211111111111111,az:0.7911111111111111,q:138.25,rV:    70,lV:    50,Camera:0
23714,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:0.03777777777777778,ay:0.2777777777777778,az:0.8077777777777778,q: 136.0,rV:    70,lV:    50,Camera:0
23727,state:6,Time:13:39:00,Lat:35.55491500,Lng:139.65560167,ax:0.30666666666666664,ay:-0.6477777777777778,az:0.8888888888888888,q: 135.5,rV:    70,lV:    50,Camera:0
23834,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:-0.23777777777777778,ay:0.5344444444444445,az:0.5311111111111111,q: 130.5,rV:    70,lV:    50,Camera:0
23842,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:  0.16,ay:0.4077777777777778,az:0.43444444444444447,q: 130.5,rV:    50,lV:    70,Camera:0
24155,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:-0.31666666666666665,ay:-0.31555555555555553,az:-0.8944444444444445,q:133.8125,rV:    50,lV:    70,Camera:0
24271,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.6222222222222222,ay:0.36333333333333334,az:-0.6488888888888888,q:138.25,rV:    50,lV:    70,Camera:0
24382,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.20333333333333334,ay:0.12777777777777777,az:-0.45222222222222225,q: 141.5,rV:    50,lV:    70,Camera:0
24463,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:-0.5766666666666667,ay:-0.15555555555555556,az:-0.20666666666666667,q:142.875,rV:    50,lV:    70,Camera:0
24545,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.47333333333333333,ay:0.17555555555555555,az:-0.16777777777777778,q: 144.0,rV:    50,lV:    70,Camera:0
24624,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.30777777777777776,ay:0.5511111111111111,az:-0.37777777777777777,q:145.25,rV:    50,lV:    70,Camera:0
24672,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.4311111111111111,ay:-0.41444444444444445,az:-0.8222222222222222,q:146.6875,rV:    50,lV:    70,Camera:0
24720,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:-0.08888888888888889,ay:-1.6933333333333334,az:-0.35444444444444445,q:148.4375,rV:    50,lV:    70,Camera:0
24734,state:6,Time:13:39:01,Lat:35.55491333,Lng:139.65559833,ax:0.44333333333333336,ay:-0.31222222222222223,az:-0.24222222222222223,q:148.5625,rV:    50,lV:    70,Camera:0
24837,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.3422222222222222,ay:-0.023333333333333334,az:-0.5255555555555556,q: 149.0,rV:    50,lV:    70,Camera:0
24846,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.09444444444444444,ay:-0.08666666666666667,az:-0.6866666666666666,q: 149.0,rV:    70,lV:    50,Camera:0
25136,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:0.8011111111111111,ay:-0.9633333333333334,az:0.30333333333333334,q:146.1875,rV:    70,lV:    50,Camera:0
25250,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.4222222222222222,ay:1.1722222222222223,az:1.0355555555555556,q:140.625,rV:    70,lV:    50,Camera:0
25358,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.5255555555555556,ay:0.1988888888888889,az:  0.53,q:136.125,rV:    70,lV:    50,Camera:0
25443,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.5811111111111111,ay:0.4022222222222222,az:0.6544444444444445,q:132.1875,rV:    70,lV:    50,Camera:0
25518,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax: -0.49,ay:0.6277777777777778,az:0.43555555555555553,q:129.6875,rV:    70,lV:    50,Camera:0
25599,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:0.06111111111111111,ay:0.6155555555555555,az:0.5855555555555556,q:127.125,rV:    70,lV:    50,Camera:0
25648,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.4288888888888889,ay:-0.24555555555555555,az:1.2866666666666666,q:124.375,rV:    70,lV:    50,Camera:0
25700,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:0.15888888888888889,ay: -1.47,az:0.9688888888888889,q: 121.0,rV:    70,lV:    50,Camera:0
25710,state:6,Time:13:39:02,Lat:35.55491167,Lng:139.65559667,ax:-0.6055555555555555,ay:-0.6622222222222223,az:1.028888888888889,q: 120.5,rV:    70,lV:    50,Camera:0
25815,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:  -0.1,ay:-0.4011111111111111,az:0.6822222222222222,q:116.6875,rV:    70,lV:    50,Camera:0
25827,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:0.1411111111111111,ay:-0.22444444444444445,az:  0.72,q:115.875,rV:    60,lV:    60,Camera:0
26154,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-1.4533333333333334,ay:1.1333333333333333,az:1.4566666666666668,q:105.75,rV:    60,lV:    60,Camera:0
26269,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-0.7644444444444445,ay:-0.1411111111111111,az:0.3411111111111111,q:100.75,rV:    60,lV:    60,Camera:0
26385,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-1.5755555555555556,ay:0.8533333333333334,az:0.2688888888888889,q: 100.0,rV:    60,lV:    60,Camera:0
26465,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-1.4455555555555555,ay:1.1588888888888889,az:-0.08777777777777777,q:99.0625,rV:    60,lV:    60,Camera:0
26545,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax: -1.61,ay:0.1111111111111111,az:-0.17777777777777778,q: 99.75,rV:    60,lV:    60,Camera:0
26625,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:0.22555555555555556,ay:2.3088888888888888,az:-0.3977777777777778,q:111.4375,rV:    60,lV:    60,Camera:0
26672,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:0.20444444444444446,ay:0.8555555555555555,az:-0.7055555555555556,q:115.9375,rV:    60,lV:    60,Camera:0
26732,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-2.0344444444444445,ay:0.24333333333333335,az:0.24444444444444444,q:113.6875,rV:    60,lV:    60,Camera:0
26743,state:6,Time:13:39:03,Lat:35.55491000,Lng:139.65559500,ax:-2.1366666666666667,ay:1.1611111111111112,az:0.31777777777777777,q:113.375,rV:    60,lV:    60,Camera:0
26846,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:-2.658888888888889,ay:1.3911111111111112,az:-0.014444444444444444,q:114.5625,rV:    60,lV:    60,Camera:0
26853,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:-2.658888888888889,ay:1.3911111111111112,az:-0.014444444444444444,q: 114.5,rV:    60,lV:    60,Camera:0
27169,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax: -2.03,ay:0.38555555555555554,az:-0.5733333333333334,q:185.625,rV:    60,lV:    60,Camera:0
27287,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:-2.0922222222222224,ay:-2.057777777777778,az:-0.41333333333333333,q:8.5625,rV:    60,lV:    60,Camera:0
27397,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:-4.608888888888889,ay:0.7355555555555555,az:2.1344444444444446,q:11.375,rV:    60,lV:    60,Camera:0
27475,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:0.8022222222222222,ay:-4.8677777777777775,az: -1.31,q:12.375,rV:    60,lV:    60,Camera:0
27556,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:-0.08222222222222222,ay:-3.7544444444444443,az:-0.6122222222222222,q:  10.5,rV:    60,lV:    60,Camera:0
27643,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax:0.2011111111111111,ay:1.2555555555555555,az:-0.3933333333333333,q:  9.75,rV:    60,lV:    60,Camera:0
27695,state:6,Time:13:39:04,Lat:35.55490833,Lng:139.65559167,ax: -0.42,ay:-0.2088888888888889,az:-0.20222222222222222,q:9.0625,rV:    60,lV:    60,Camera:0
27751,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:0.07222222222222222,ay:1.9077777777777778,az:-0.07666666666666666,q:8.4375,rV:    60,lV:    60,Camera:0
27764,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.26222222222222225,ay:1.3711111111111112,az:0.028888888888888888,q:   8.5,rV:    60,lV:    60,Camera:0
27874,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.7266666666666667,ay:1.9866666666666666,az:  1.05,q:13.9375,rV:    60,lV:    60,Camera:0
27882,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.10555555555555556,ay:1.4655555555555555,az:1.1088888888888888,q:13.9375,rV:    60,lV:    60,Camera:0
28185,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.4066666666666667,ay:6.562222222222222,az:0.2388888888888889,q:33.375,rV:    60,lV:    60,Camera:0
28302,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:0.2288888888888889,ay:8.261111111111111,az:  0.25,q:26.9375,rV:    60,lV:    60,Camera:0
