6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
20912,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-0.4822222222222222,ay:0.22444444444444445,az:-0.016666666666666666,q:274.1875,rV:    60,lV:    60,Camera:0
20961,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:  1.19,ay:  0.18,az:-0.34555555555555556,q:274.375,rV:    60,lV:    60,Camera:0
21056,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-0.23333333333333334,ay:  0.19,az:  0.11,q:274.75,rV:    60,lV:    60,Camera:0
21150,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-1.0888888888888888,ay:0.5288888888888889,az:-0.06222222222222222,q: 275.0,rV:    60,lV:    60,Camera:0
21161,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-1.6366666666666667,ay:0.5977777777777777,az:0.005555555555555556,q: 275.0,rV:    60,lV:    60,Camera:0
21438,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:0.9955555555555555,ay:0.26666666666666666,az:-0.14222222222222222,q:274.6875,rV:    60,lV:    60,Camera:0
21551,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:-0.8755555555555555,ay:0.04555555555555556,az:0.28444444444444444,q:274.4375,rV:    60,lV:    60,Camera:0
21598,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:0.8111111111111111,ay:0.26222222222222225,az:0.08555555555555555,q: 274.0,rV:    60,lV:    60,Camera:0
21690,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:0.7044444444444444,ay:-0.3877777777777778,az:-0.11666666666666667,q:274.3125,rV:    60,lV:    60,Camera:0
21732,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:-0.3811111111111111,ay: -0.09,az:0.042222222222222223,q:274.1875,rV:    60,lV:    60,Camera:0
21853,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:0.9566666666666667,ay:0.11444444444444445,az:-0.33555555555555555,q:273.75,rV:    60,lV:    60,Camera:0
21938,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:1.4733333333333334,ay:-0.8533333333333334,az: -0.34,q:276.3125,rV:    60,lV:    60,Camera:0
21976,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:-0.5855555555555556,ay: -0.22,az:0.051111111111111114,q:276.375,rV:    60,lV:    60,Camera:0
22070,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:-0.8511111111111112,ay:0.24222222222222223,az:-0.1288888888888889,q:276.3125,rV:    60,lV:    60,Camera:0
22165,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax: -0.37,ay:-0.12222222222222222,az:-0.16777777777777778,q:276.4375,rV:    60,lV:    60,Camera:0
22173,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:0.6222222222222222,ay:-0.006666666666666667,az:-0.29888888888888887,q:276.4375,rV:    60,lV:    60,Camera:0
22454,state:6,Time:13:18:05,Lat:35.55488333,Lng:139.65570500,ax:0.3933333333333333,ay:-0.7411111111111112,az:-0.41555555555555557,q:276.4375,rV:    60,lV:    60,Camera:0
22566,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:0.06777777777777778,ay:  0.62,az:  0.43,q:275.8125,rV:    60,lV:    60,Camera:0
22609,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.2222222222222222,ay:-0.15555555555555556,az:0.22666666666666666,q:275.3125,rV:    60,lV:    60,Camera:0
22702,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.8533333333333334,ay:0.4811111111111111,az:-0.025555555555555557,q:275.375,rV:    60,lV:    60,Camera:0
